size v0 v1 v2 v3(BLOCK=16)
48 .00009417000000000000 .00006190000000000000 .00006302000000000000 .00006872000000000000
128 .00227860000000000000 .00106004000000000000 .00632458000000000000 .00130462000000000000
256 .02905780000000000000 .00845720000000000000 .07631400000000000000 .00988960000000000000
512 .17347480000000000000 .06257280000000000000 .90910320000000000000 .08570300000000000000
768 .62021985714285714285 .22001728571428571428 2.03852985714285714285 .26922342857142857142
1024 3.54254166666666666666 .63497400000000000000 9.98894100000000000000 .72752566666666666666
